,city,country,lat,lng,rank,country code,genre,top_genres,scale_rank,market_importance
1914,southbank victoria,australia,-38.0996,145.2834,1325,AU,australian hiphop,5,0.504646322,2.523231608
1910,south benfleet,united kingdom,54.5667,-1.15,2089,GB,uk hiphop,10,0.250096871,2.500968709
1354,mosman new south wales,australia,-31.445,152.9187,1343,AU,australian hiphop,5,0.498333884,2.491669422
1627,preston victoria,australia,-38.0996,145.2834,1356,AU,australian hiphop,5,0.493783166,2.46891583
1351,morton mississippi,united states,40.6137,-89.4668,1019,US,southern hiphop,4,0.61389218,2.455568718
1640,pyrmont new south wales,australia,-31.445,152.9187,1385,AU,australian hiphop,5,0.483656778,2.418283889
1852,scunthorpe,united kingdom,53.5833,-0.65,2030,GB,uk hiphop,9,0.268633641,2.417702771
1972,syracuse new york,united states,40.6943,-73.9249,509,US,southern hiphop,3,0.803240857,2.409722571
2233,wellingborough,united kingdom,51.0167,-1.3167,2148,GB,uk hiphop,10,0.231786447,2.317864467
587,durham,united kingdom,54.7667,-1.5667,1135,GB,uk hiphop,4,0.572061508,2.288246033
706,geelong victoria,australia,-38.1675,144.3956,1485,AU,australian hiphop,5,0.449011437,2.245057184
245,bondi new south wales,australia,-31.445,152.9187,1714,AU,"australian underground hiphop, australian hiphop",6,0.371370962,2.228225771
1469,oceanside california,united states,40.0692,-79.9152,786,US,"underground hiphop, southern hiphop",3,0.699345685,2.098037056
1644,queanbeyan new south wales,australia,-31.445,152.9187,1855,AU,australian hiphop,6,0.324849108,1.94909465
1566,perris california,united states,40.0692,-79.9152,1394,US,underground hiphop,4,0.480521243,1.922084972
733,glen waverley victoria,australia,-38.0996,145.2834,1682,AU,australian hiphop,5,0.382070503,1.910352513
543,detroit michigan,united states,42.3834,-83.1024,121,US,southern hiphop,2,0.952584343,1.905168685
144,baltimore maryland,united states,39.3051,-76.6144,156,US,southern hiphop,2,0.938941263,1.877882525
433,cincinnati ohio,united states,39.1412,-84.5059,182,US,southern hiphop,2,0.928827722,1.857655445
1155,limerick,ireland,52.6647,-8.6231,1021,IE,uk hiphop,3,0.613166824,1.839500473
755,greater sudbury,canada,46.5,-80.9666,1064,CA,canadian hiphop,3,0.597606463,1.79281939
280,bridgeview illinois,united states,41.7402,-87.8067,375,US,southern hiphop,2,0.854336058,1.708672116
1259,maple ridge,canada,41.4094,-81.5625,1158,CA,canadian hiphop,3,0.563826587,1.691479762
686,fresno california,united states,40.0692,-79.9152,410,US,southern hiphop,2,0.840939796,1.681879591
1959,sunderland,united kingdom,54.92,-1.38,1188,GB,uk hiphop,3,0.553115469,1.659346408
327,caboolture queensland,australia,-27.083,152.95,2012,AU,australian hiphop,6,0.274332346,1.645994074
405,chandler arizona,united states,33.2827,-111.8516,463,US,southern hiphop,2,0.820721683,1.641443365
427,chilliwack,canada,49.1666,-121.95,1216,CA,canadian hiphop,3,0.543149508,1.629448524
1399,new farm queensland,australia,-16.8878,145.7633,488,AU,australian hiphop,2,0.811213451,1.622426902
1621,prahran victoria,australia,-38.0996,145.2834,1620,AU,australian hiphop,4,0.402942835,1.61177134
183,belleville,canada,44.1667,-77.3833,1245,CA,canadian hiphop,3,0.532859656,1.598578969
610,elk grove california,united states,38.416,-121.384,698,US,southern hiphop,2,0.732090841,1.464181682
1823,santa maria california,united states,34.9333,-120.4432,1424,US,"underground hiphop, southern hiphop",3,0.470094145,1.410282436
2107,unley south australia,australia,-30.8996,135.3,1995,AU,australian hiphop,5,0.27973264,1.398663201
1519,oxnard california,united states,40.0692,-79.9152,838,US,southern hiphop,2,0.680114979,1.360229958
417,cherry hill new jersey,united states,41.2012,-77.2666,845,US,southern hiphop,2,0.677533082,1.355066164
1849,schenectady new york,united states,40.6943,-73.9249,853,US,southern hiphop,2,0.674584349,1.349168699
1798,san mateo california,united states,37.5522,-122.3122,939,US,southern hiphop,2,0.643022357,1.286044713
1774,salisbury,united kingdom,35.6657,-80.491,1612,GB,uk hiphop,3,0.405649417,1.216948251
2260,wollongong new south wales,australia,-31.445,152.9187,1942,AU,australian hiphop,4,0.296679751,1.186719002
